URL,关闭时间,创建时间,创建者,序号,更新时间,标签,标签数,标题,正文长度,正文预览,状态,类型,编号,获取时间,评论数,页码
https://github.com/microsoft/vscode/pull/292757,,2026-02-04T03:23:54Z,mjbvz,1,2026-02-04T03:33:49Z,,0,Fix source maps for extensions after tsgo,31,"Aligning with previous output
...",open,Issue,292757,2026-02-04T11:34:55.404021,0,1
https://github.com/microsoft/vscode/pull/292749,,2026-02-04T02:18:58Z,dmitrivMS,2,2026-02-04T02:52:05Z,"install-update, macos",2,Offer to move app to Applications folder on macOS if not already there,15,"Fixes #213909
...",open,Issue,292749,2026-02-04T11:34:55.404049,0,1
https://github.com/microsoft/vscode/pull/292746,,2026-02-04T02:01:35Z,dmitrivMS,3,2026-02-04T02:11:34Z,"install-update, windows",2,Fix double update issue on Windows,15,"Fixes #268531
...",open,Issue,292746,2026-02-04T11:34:55.404058,0,1
https://github.com/microsoft/vscode/pull/292742,,2026-02-04T01:17:45Z,bryanchen-d,4,2026-02-04T01:27:57Z,,0,Preserve VS Code extension paths in telemetry callstacks,1063,"## Summary

When anonymizing file paths in telemetry data, preserve the extension name and path with...",open,Issue,292742,2026-02-04T11:34:55.404066,0,1
https://github.com/microsoft/vscode/pull/292732,,2026-02-03T23:36:04Z,meganrogge,5,2026-02-03T23:49:04Z,,0,add a bunch of logs for output monitor,10,cc @rwoll ...,open,Issue,292732,2026-02-04T11:34:55.404072,0,1
https://github.com/microsoft/vscode/pull/292729,,2026-02-03T23:27:21Z,pwang347,6,2026-02-04T00:41:47Z,,0,Fix MacOS scripts/code.sh,351,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https:...",open,Issue,292729,2026-02-04T11:34:55.404079,0,1
https://github.com/microsoft/vscode/pull/292728,,2026-02-03T23:18:47Z,cwebster-99,7,2026-02-04T00:56:37Z,,0,Add scroll behavior setting for Settings editor,351,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https:...",open,Issue,292728,2026-02-04T11:34:55.404084,0,1
https://github.com/microsoft/vscode/pull/292706,,2026-02-03T22:50:18Z,meganrogge,8,2026-02-03T23:53:01Z,,0,`sessionId` -> `sessionResource` in task execution and output monitoring,57,part of https://github.com/microsoft/vscode/issues/274403...,open,Issue,292706,2026-02-04T11:34:55.404089,0,1
https://github.com/microsoft/vscode/pull/292698,,2026-02-03T22:31:44Z,Copilot,9,2026-02-03T22:38:13Z,,0,Fix vertical alignment of action bar icons in chat terminal output,1978,"Action bar icons (expand/collapse chevron, etc.) in chat terminal streaming output were misaligned w...",open,Issue,292698,2026-02-04T11:34:55.404096,0,1
https://github.com/microsoft/vscode/pull/292697,,2026-02-03T22:30:39Z,Copilot,10,2026-02-03T22:40:15Z,,0,Add accessibility progress sound to retry request button,3408,Chat error confirmation dialogs have retry buttons that send new requests but don't trigger accessib...,open,Issue,292697,2026-02-04T11:34:55.404107,0,1
https://github.com/microsoft/vscode/pull/292695,,2026-02-03T22:29:40Z,Copilot,11,2026-02-03T22:40:08Z,,0,Fix terminal command decoration to show failed icon when chat request is cancelled,2733,"When cancelling a chat session while a terminal command is running, the command decoration showed a ...",open,Issue,292695,2026-02-04T11:34:55.404114,0,1
https://github.com/microsoft/vscode/pull/292693,,2026-02-03T22:21:56Z,meganrogge,12,2026-02-03T23:50:49Z,,0,"Expose restore to last checkpoint command, add it to accessibility help dialog",13,fixes #291971...,open,Issue,292693,2026-02-04T11:34:55.404120,0,1
https://github.com/microsoft/vscode/pull/292692,,2026-02-03T22:21:27Z,chrmarti,13,2026-02-03T22:32:07Z,,0,@vscode/proxy-agent 0.38.0,7,#289736...,open,Issue,292692,2026-02-04T11:34:55.404126,0,1
https://github.com/microsoft/vscode/pull/292688,,2026-02-03T22:18:37Z,Jerad551,14,2026-02-04T00:57:23Z,triage-needed,1,Create generator-generic-ossf-slsa3-publish.yml,351,"<!-- Thank you for submitting a Pull Request. Please:
* Read our Pull Request guidelines:
  https:...",open,Issue,292688,2026-02-04T11:34:55.404132,0,1
https://github.com/microsoft/vscode/pull/292685,,2026-02-03T21:38:45Z,Tyriar,15,2026-02-03T22:53:07Z,,0,"@xterm/xterm@6.1.0-beta.144, add textBlinking",258,"Fixes https://github.com/microsoft/vscode/issues/245840
Fixes https://github.com/microsoft/vscode/i...",open,Issue,292685,2026-02-04T11:34:55.404138,0,1
https://github.com/microsoft/vscode/pull/292672,,2026-02-03T20:33:10Z,deepak1556,16,2026-02-03T21:14:48Z,,0,fix: associate extHost lifecycle to window,333,"Fixes https://github.com/microsoft/vscode/issues/291346

With migration to render process reuse, o...",open,Issue,292672,2026-02-04T11:34:55.404143,0,1
https://github.com/microsoft/vscode/pull/292663,,2026-02-03T20:12:51Z,dependabot[bot],17,2026-02-03T20:12:52Z,"dependencies, rust",2,Bump bytes from 1.6.0 to 1.11.1 in /cli,11217,"Bumps [bytes](https://github.com/tokio-rs/bytes) from 1.6.0 to 1.11.1.
<details>
<summary>Release no...",open,Issue,292663,2026-02-04T11:34:55.404149,0,1
https://github.com/microsoft/vscode/pull/292661,,2026-02-03T20:02:58Z,lszomoru,18,2026-02-03T20:13:43Z,,0,ButtonBar - add support to set the context for the widget,351,* This pull request reverts the changes to `action.ts` made in https://github.com/microsoft/vscode/p...,open,Issue,292661,2026-02-04T11:34:55.404155,0,1
https://github.com/microsoft/vscode/pull/292645,,2026-02-03T19:28:29Z,Copilot,19,2026-02-03T22:05:11Z,,0,"Fix redundant ""Checkbox for Step"" in walkthrough step aria-labels",3632,"Screen readers (e.g., NVDA) announced walkthrough step checkboxes as ""Checkbox for Step Choose your ...",open,Issue,292645,2026-02-04T11:34:55.404161,0,1
https://github.com/microsoft/vscode/pull/292632,,2026-02-03T19:01:48Z,Copilot,20,2026-02-03T19:20:37Z,,0,Fix agent status indicator inheriting debug color from command center,2228,"## Description

The agent status indicator was inheriting the debug orange color when debugging with...",open,Issue,292632,2026-02-04T11:34:55.404166,0,1
